id,GEOID,totalpop,countbelow200pct,estab,Housingperpov200,Businessperest,ImpactFinanceperpov200,CommDevOtherperpov200,z_Housing,z_ImpactFinance,z_CommDevOther,z_Business,z_GlobalCapacity,popsize_bin,Housing_ptile,Housing_rank,Business_ptile,Business_rank,ImpactFinance_ptile,ImpactFinance_rank,CommDevOther_ptile,CommDevOther_rank,GlobalCapacity_ptile,GlobalCapacity_rank,CoreLogic_200pov,State,CountyName
906,20033,2010,518,74,0,1878.378418,0,0,-0.449287087,-0.209443972,-0.450436771,-1.664983869,-0.693537951,1,1,1454,1,2158,1,1761.5,1,1561,1,2158,NA,Kansas,Comanche
954,20129,3106,1017,103,0,2456.310791,0,0,-0.449287087,-0.209443972,-0.450436771,-1.642962456,-0.688032568,1,1,1454,1,2155,1,1761.5,1,1561,1,2157,NA,Kansas,Morton
2162,40059,3766,1473,98,0,3346.938721,0,0,-0.449287087,-0.209443972,-0.450436771,-1.609026313,-0.679548562,1,1,1454,1,2150,1,1761.5,1,1561,1,2156,NA,Oklahoma,Harper
2772,48495,7576,2545,174,0,3724.137939,0,0,-0.449287087,-0.209443972,-0.450436771,-1.594653726,-0.675955415,1,1,1454,1,2146,1,1761.5,1,1561,1,2155,3243.339844,Texas,Winkler
2731,48413,3224,999,53,0,4000,0,0,-0.449287087,-0.209443972,-0.450436771,-1.584142327,-0.673327565,1,1,1454,1,2145,1,1761.5,1,1561,1,2154,40357.63281,Texas,Schleicher
2197,40129,3780,1204,89,0,4056.179688,0,0,-0.449287087,-0.209443972,-0.450436771,-1.582001686,-0.672792375,1,1,1454,1,2144,1,1761.5,1,1561,1,2153,44367.09375,Oklahoma,Roger Mills
1047,21105,4720,2143,66,0,4303.030273,0,0,-0.449287087,-0.209443972,-0.450436771,-1.572595835,-0.670440912,1,1,1454,1,2143,1,1761.5,1,1561,1,2152,NA,Kentucky,Hickman
2160,40055,6117,2261,85,0,4352.941406,0,0,-0.449287087,-0.209443972,-0.450436771,-1.57069397,-0.669965446,1,1,1454,1,2142,1,1761.5,1,1561,1,2151,NA,Oklahoma,Greer
252,8011,5895,1775,57,0,4701.754395,0,0,-0.449287087,-0.209443972,-0.450436771,-1.557402968,-0.666642725,1,1,1454,1,2141,1,1761.5,1,1561,1,2150,70869.09375,Colorado,Bent
979,20179,2531,883,107,0,4813.083984,0,0,-0.449287087,-0.209443972,-0.450436771,-1.553160906,-0.66558218,1,1,1454,1,2140,1,1761.5,1,1561,1,2149,NA,Kansas,Sheridan
1747,31183,847,283,22,0,4863.63623,0,0,-0.449287087,-0.209443972,-0.450436771,-1.551234722,-0.665100634,1,1,1454,1,2139,1,1761.5,1,1561,1,2148,NA,Nebraska,Wheeler
923,20067,7816,2500,208,0,5033.653809,0,0,-0.449287087,-0.209443972,-0.450436771,-1.544756413,-0.663481057,1,1,1454,1,2137,1,1761.5,1,1561,1,2147,NA,Kansas,Grant
902,20025,2145,785,58,0,5396.551758,0,0,-0.449287087,-0.209443972,-0.450436771,-1.530928612,-0.660024107,1,1,1454,2,2135,1,1761.5,1,1561,1,2146,NA,Kansas,Clark
863,19145,15660,5391,390,0,5253.846191,13.71452427,0,-0.449287087,-0.203512534,-0.450436771,-1.536366224,-0.659900665,1,1,1454,2,2136,49,1111,1,1561,1,2145,17540.37109,Iowa,Page
541,13307,2720,1292,27,0,5481.481445,15.17027855,0,-0.449287087,-0.202882931,-0.450436771,-1.527692556,-0.657574832,1,1,1454,2,2134,50,1098,1,1561,1,2144,14629.09863,Georgia,Webster
2602,48155,1197,481,28,0,5678.571289,0,0,-0.449287087,-0.209443972,-0.450436771,-1.520182729,-0.657337666,1,1,1454,2,2132,1,1761.5,1,1561,1,2143,NA,Texas,Foard
